datetime,R5,R4,R3,Pivot,S3,S4,S5,open,high,low,close,dayVolume
02-11-2021 12:11,320.2654932,308.6825,302.04125,297.7833333,288.75875,282.1175,270.5345068,300.9,310.15,292,309.7,127140
03-11-2021 12:11,328.9501884,319.6825,314.69125,303.95,304.70875,299.7175,290.4498116,313.4,325.15,309.5,323.15,165726
08-11-2021 12:11,346.3217674,342.415,340.1325,336.05,335.5675,333.285,329.3782326,344,345,321,321,89038
09-11-2021 12:11,345,334.2,327.6,329,314.4,307.8,297,321,328,305.25,308.3,85016
10-11-2021 12:11,331.2773137,320.8125,314.55625,313.85,302.04375,295.7875,285.3226863,309.05,314,300,304.05,64652
11-11-2021 12:11,318.239,311.75,307.9,306.0166667,300.2,296.35,289.861,311,319.25,303.1,314.45,132346
12-11-2021 12:11,331.2047592,323.3325,318.89125,312.2666667,310.00875,305.5675,297.6952408,314.8,314.8,301.4,306.65,94419
15-11-2021 12:11,320.2834107,314.02,310.335,307.6166667,302.965,299.28,293.0165893,314.9,321.95,301.3,304.1,177682
16-11-2021 12:11,324.9419018,315.4575,309.77875,309.1166667,298.42125,292.7425,283.2580982,305,319.3,303,319.3,113966
17-11-2021 12:11,336.4768647,328.265,323.7825,313.8666667,314.8175,310.335,302.1231353,332.4,335.25,321,335.25,117560
18-11-2021 12:11,350.1325935,343.0875,339.16875,330.5,331.33125,327.4125,320.3674065,352,352,329,352,650292
22-11-2021 12:11,376.6079027,364.65,358.325,344.3333333,345.675,339.35,327.3920973,365.65,368.4,334.4,340.95,218074
23-11-2021 12:11,375.6159689,359.65,350.3,347.9166667,331.6,322.25,306.2840311,340,357.95,332.4,357.95,135860
24-11-2021 12:11,385.4639064,372.0025,364.97625,349.4333333,350.92375,343.8975,330.4360936,367.7,375.8,361.95,375.8,47210
25-11-2021 12:11,390.1799696,383.4175,379.60875,371.1833333,371.99125,368.1825,361.4200304,394.55,394.55,369.95,394.55,264132
26-11-2021 12:11,420.7857886,408.08,401.315,386.35,387.785,381.02,368.3142114,394,407.65,377.55,382.6,385112
29-11-2021 12:11,413.1026089,399.155,390.8775,389.2666667,374.3225,366.045,352.0973911,381,384.75,363.5,363.5,51188
30-11-2021 12:11,384.75,375.1875,369.34375,370.5833333,357.65625,351.8125,342.25,355,376.5,345.35,346.85,173508
01-12-2021 12:12,378.1352975,363.9825,355.41625,356.2333333,338.28375,329.7175,315.5647025,346.1,354.7,329.55,333.25,135940
02-12-2021 12:12,358.6823699,347.0825,340.16625,339.1666667,326.33375,319.4175,307.8176301,345,349.9,324.5,349.9,84187
03-12-2021 12:12,377.2881664,363.87,356.885,341.4333333,342.915,335.93,322.5118336,358.3,367.35,352.15,366.8,188007
06-12-2021 12:12,382.6323442,375.16,370.98,362.1,362.62,358.44,350.9676558,374,376.8,352.1,361.75,102598
07-12-2021 12:12,387.1269526,375.335,368.5425,363.55,354.9575,348.165,336.3730474,373.9,373.9,355.5,357.85,60259
08-12-2021 12:12,376.3716315,367.97,362.91,362.4166667,352.79,347.73,339.3283685,360,366.3,350,352.7,102689
09-12-2021 12:12,369.1257429,361.665,357.1825,356.3333333,348.2175,343.735,336.2742571,355,357.35,341,344.4,71669
10-12-2021 12:12,360.9130205,353.3925,348.89625,347.5833333,339.90375,335.4075,327.8869795,346,361.6,345,358.5,156101
13-12-2021 12:12,375.7495652,367.63,363.065,355.0333333,353.935,349.37,341.2504348,368.9,369,351.55,355.1,68517
14-12-2021 12:12,372.7262125,364.6975,359.89875,358.55,350.30125,345.5025,337.4737875,355,355.15,343,344.15,68237
